protein	Disease	id	nsnp	fdr	Ncase	Ncontrol	Ntotal	bxy	se	pqtl	p	qtl	b_qtl	se_qtl	p_qtl	chr
CX3CL1	COVID-19 hospitalisation	GCST90134602	13	0.74998815	14480	73191	87671	-0.048472	0.0582584	rs671623	0.405399	NA	-0.15244	0.036662	3.2116e-05	16
CST5	Sepsis	ieu-b-69	63	0.750072425742574	10154	454764	464918	-0.0181571	0.0219506	rs4815244	0.408134	rs77074696	0.123476	0.0387374	0.00064	20
CXCL5	Crohn's disease	ebi-a-GCST004132	13	0.750072425742574	12194	28072	40266	-0.039784	0.0482362	rs450373	0.409499	rs184104389	-0.3726	0.1003	0.000203798	4
MIP-1 alpha	Primary sclerosing cholangitis	ieu-a-1112	12	0.750072425742574	2871	12019	14890	0.0753455	0.0911638	rs8951	0.408529	rs117619352	0.563608	0.161	0.000163459	17
CASP-8	Primary sclerosing cholangitis	ieu-a-1112	3	0.750272368421053	2871	12019	14890	-0.176449	0.214605	rs56328050	0.41096	rs12999182	-0.1441	0.039	0.000143612	2
MIP-1 alpha	Crohn's disease	ebi-a-GCST004132	24	0.764498852459016	12194	28072	40266	-0.0327215	0.0405875	rs8951	0.42013	rs28363255	0.5331	0.1595	0.000833393	17
IL10RB	COVID-19 hospitalisation	GCST90134602	27	0.774680245098039	14480	73191	87671	0.0275176	0.0346513	rs2266590	0.427121	rs11088247	0.094989	0.016354	6.3107e-09	21
CXCL1	Ulcerative colitis	ebi-a-GCST004133	11	0.780789496753247	12366	33609	45975	0.0410444	0.0523826	rs1366949	0.433303	rs425535	0.133	0.0257	2.21799e-07	4
IL10RB	Primary sclerosing cholangitis	ieu-a-1112	13	0.780789496753247	2871	12019	14890	-0.0568307	0.0725226	rs2266590	0.433259	rs76879875	0.241376	0.069	0.000300947	21
CCL23	Eczema	ieu-a-996	22	0.781037318611987	10788	30047	40835	-0.0275299	0.0359426	rs712048	0.443712	rs191528235	-1.0114	0.223171	5.92994e-06	17
CX3CL1	Gout	ebi-a-GCST001790	8	0.781037318611987	2115	67259	69374	0.120133	0.156843	rs671623	0.443709	rs2399594	0.1	0.034	0.00302503	16
CXCL1	Eczema	ieu-a-996	11	0.781037318611987	10788	30047	40835	0.0416534	0.0543743	rs1366949	0.443647	rs145827745	1.17573	0.330519	0.000376999	4
hGDNF	Sepsis	ieu-b-69	19	0.781037318611987	10154	454764	464918	0.0313813	0.0407413	rs62360376	0.441147	rs115004153	0.144817	0.0421338	0.000449997	5
IL10RB	Type 1 diabetes	GCST90014023	27	0.781037318611987	18942	501638	520580	-0.0251932	0.0326301	rs2266590	0.440065	rs2249221	0.072361	0.016037	6.42e-06	21
MIP-1 alpha	Type 1 diabetes	GCST90014023	54	0.781037318611987	18942	501638	520580	0.0282373	0.0370076	rs8951	0.445454	rs78943308	-0.142301	0.033837	2.61e-05	17
TRAIL	Rheumatoid arthritis	ieu-a-833	6	0.781037318611987	19234	61565	80799	-0.0725828	0.0952628	rs574044675	0.446106	rs2422408	-0.076961	0.0164639	5.30005e-07	3
uPA	Primary sclerosing cholangitis	ieu-a-1112	3	0.781037318611987	2871	12019	14890	-0.214721	0.28086	rs55744193	0.444561	rs201407652	0.677018	0.184	5.78962e-05	10
VEGF_A	Gout	ebi-a-GCST001790	8	0.781037318611987	2115	67259	69374	0.058343	0.0753212	rs6921438	0.438582	rs2185631	-0.14	0.033	1.35422e-05	6
IL-12B	Multiple sclerosis	ieu-b-18	13	0.786346269592477	47429	68374	115803	-0.0258267	0.034338	rs10076557	0.451972	rs2546890	-0.116983	0.0164181	1.03896e-12	5
TNFSF14	Sepsis	ieu-b-69	9	0.786346269592477	10154	454764	464918	0.0361319	0.0479239	rs344562	0.450883	rs386806432	0.111613	0.02317	1.7e-06	19
CXCL6	Asthma	ebi-a-GCST005212	6	0.792035296875	19954	107715	127669	-0.0244719	0.0328771	rs16850073	0.456669	rs6813952	-0.0734984	0.0271262	0.00673845	4
CSF-1	Eczema	ieu-a-996	5	0.792348148148148	10788	30047	40835	0.0622597	0.0844025	rs17610659	0.460726	rs4147561	0.224498	0.0612057	0.000246003	1
HGF	Systemic lupus erythematosus	ebi-a-GCST003156	3	0.792348148148148	5201	9066	14267	-0.175992	0.237989	rs5745687	0.459604	rs113654898	0.392042	0.113352	0.000542963	7
MCP-2	Inflammatory bowel disease	ebi-a-GCST004131	35	0.792348148148148	25042	34915	59957	0.0115444	0.0156935	rs1133763	0.461965	rs11870407	-0.101	0.014	4.82503e-13	17
MMP-10	Multiple sclerosis	ieu-b-18	30	0.792348148148148	47429	68374	115803	-0.0308422	0.0419828	rs17860955	0.46256	rs11225496	-0.0782859	0.0204097	0.000125199	11
DNER	Primary sclerosing cholangitis	ieu-a-1112	12	0.796993619631902	2871	12019	14890	0.114656	0.158037	rs62193248	0.468144	rs519214	-0.183987	0.043	1.37031e-05	2
MMP-10	Eczema	ieu-a-996	39	0.796993619631902	10788	30047	40835	0.0268963	0.0369788	rs17860955	0.467016	rs115143753	0.262886	0.0677192	0.000105	11
CCL25	COVID-19 hospitalisation	GCST90134602	60	0.797956205357143	14480	73191	87671	0.0147587	0.0206946	rs2032887	0.475744	rs555433782	-0.82046	0.19603	2.8479e-05	19
CD40	Primary sclerosing cholangitis	ieu-a-1112	15	0.797956205357143	2871	12019	14890	0.0506237	0.0720001	rs1883832	0.48199	rs118015976	0.43308	0.127	0.000275315	20
CDCP1	Systemic lupus erythematosus	ebi-a-GCST003156	12	0.797956205357143	5201	9066	14267	0.0776692	0.110139	rs2276862	0.480692	rs141747866	-0.139262	0.0404404	0.000573958	3
CDCP1	Crohn's disease	ebi-a-GCST004132	13	0.797956205357143	12194	28072	40266	0.0387014	0.0551816	rs2276862	0.483087	rs147581721	0.4738	0.1395	0.000681805	3
CDCP1	COVID-19 hospitalisation	GCST90134602	13	0.797956205357143	14480	73191	87671	0.0378607	0.0528477	rs2276862	0.473737	rs17713054	0.30419	0.027512	2.0386e-28	3
hGDNF	Primary sclerosing cholangitis	ieu-a-1112	17	0.797956205357143	2871	12019	14890	-0.0663666	0.0932752	rs62360376	0.476766	rs111857551	0.249201	0.061	2.92348e-05	5
IL10RB	Gout	ebi-a-GCST001790	12	0.797956205357143	2115	67259	69374	0.0579087	0.0804356	rs2266590	0.471563	rs2834245	-0.1	0.035	0.00347648	21
TRAIL	Multiple sclerosis	ieu-b-18	5	0.797956205357143	47429	68374	115803	0.0635828	0.0885708	rs574044675	0.472834	rs41273599	0.135362	0.0377128	0.000331597	3
VEGF_A	Type 1 diabetes	GCST90014023	16	0.797956205357143	18942	501638	520580	-0.0234529	0.0334159	rs6921438	0.482774	rs1292760067	27.3373	6.2665	1.29e-05	6
VEGF_A	Eczema	ieu-a-996	17	0.797956205357143	10788	30047	40835	0.0274357	0.0390045	rs6921438	0.481808	rs2153164	0.189925	0.0498242	0.000138998	6
CXCL1	Rheumatoid arthritis	ieu-a-833	6	0.798022876106195	19234	61565	80799	0.0353329	0.0507507	rs1366949	0.4863	rs62313987	0.587787	0.190832	0.002	4
CXCL5	Eczema	ieu-a-996	12	0.798022876106195	10788	30047	40835	-0.0351062	0.0503216	rs450373	0.485404	rs145827745	1.17573	0.330519	0.000376999	4
DNER	Rheumatoid arthritis	ieu-a-833	15	0.798022876106195	19234	61565	80799	-0.0392824	0.0565715	rs62193248	0.487441	rs16825965	-0.415515	0.12234	0.000589997	2
CXCL5	Gout	ebi-a-GCST001790	5	0.799115366568915	2115	67259	69374	0.0698774	0.101457	rs450373	0.490988	rs2060849	0.11	0.036	0.00223934	4
VEGF_A	Primary sclerosing cholangitis	ieu-a-1112	6	0.799115366568915	2871	12019	14890	-0.0538635	0.0780859	rs6921438	0.490321	rs527045	0.223144	0.064	0.000310542	6
FGF-5	Gout	ebi-a-GCST001790	8	0.802423826086957	2115	67259	69374	-0.0186368	0.0274471	rs12509595	0.497133	rs7686601	-0.1	0.034	0.00289881	4
FGF-5	IgA nephropathy	ieu-a-1081	5	0.802423826086957	977	4980	5957	0.107205	0.156962	rs12509595	0.494607	rs4348080	-0.316687	0.102835	0.0020731	4
IL-15RA	Inflammatory bowel disease	ebi-a-GCST004131	32	0.802423826086957	25042	34915	59957	-0.0153493	0.0226936	rs2228059	0.498804	rs12722489	-0.0912	0.0173	1.281e-07	10
OPG	Sepsis	ieu-b-69	10	0.802423826086957	10154	454764	464918	-0.0420728	0.062182	rs2247769	0.498655	rs142579572	0.502833	0.127227	0.00017	8
CX3CL1	IgA nephropathy	ieu-a-1081	3	0.802507543352601	977	4980	5957	-0.311977	0.462864	rs671623	0.500302	rs11076164	-0.245462	0.0857245	0.00419141	16
CST5	Asthma	ebi-a-GCST005212	16	0.802861724137931	19954	107715	127669	0.01437	0.0214759	rs4815244	0.503416	rs6049057	0.071961	0.0247211	0.00360371	20
HGF	Gout	ebi-a-GCST001790	3	0.802861724137931	2115	67259	69374	-0.162012	0.241573	rs5745687	0.502441	rs10267460	0.25	0.085	0.00343867	7
IL-12B	Eczema	ieu-a-996	28	0.808153151862464	10788	30047	40835	0.0234817	0.0354892	rs10076557	0.50819	rs143050225	-0.49991	0.121676	4.03005e-05	5
CST5	Type 1 diabetes	GCST90014023	67	0.811056385714286	18942	501638	520580	-0.014373	0.0218921	rs4815244	0.511477	rs142435094	2.866963	0.75338	0.000142	20
CST5	Systemic lupus erythematosus	ebi-a-GCST003156	42	0.81239961971831	5201	9066	14267	0.0298273	0.0461558	rs4815244	0.51813	rs73345335	0.329304	0.0964456	0.000639234	20
FGF-21	Sepsis	ieu-b-69	5	0.81239961971831	10154	454764	464918	0.049457	0.0767324	rs838131	0.519226	rs2665582	0.104659	0.0302926	0.00017	19
IL-12B	Sepsis	ieu-b-69	32	0.81239961971831	10154	454764	464918	-0.0186594	0.0289789	rs10076557	0.519643	rs533506643	0.411829	0.0995062	2.69998e-05	5
MCP-3	Systemic lupus erythematosus	ebi-a-GCST003156	3	0.81239961971831	5201	9066	14267	-0.179178	0.277203	rs7213460	0.518035	rs79042714	0.19062	0.0485526	8.63495e-05	17
PD-L1	Type 1 diabetes	GCST90014023	4	0.81239961971831	18942	501638	520580	-0.0630574	0.0967271	rs822335	0.514459	rs71328171	-0.067552	0.014555	3.47e-06	9
CCL4	Rheumatoid arthritis	ieu-a-833	13	0.815663966480447	19234	61565	80799	0.0363961	0.0573757	rs8064426	0.525855	rs2586514	0.0618754	0.0162886	0.00025	17
CD40	IgA nephropathy	ieu-a-1081	10	0.815663966480447	977	4980	5957	-0.118293	0.186609	rs1883832	0.52614	rs2425879	0.287764	0.097705	0.00322708	20
HGF	IgA nephropathy	ieu-a-1081	3	0.815663966480447	977	4980	5957	0.383238	0.601647	rs5745687	0.524137	rs1229492	0.260309	0.098444	0.00818748	7
IL-18R1	Gout	ebi-a-GCST001790	26	0.818278704735376	2115	67259	69374	-0.02776	0.0441284	rs2270297	0.529301	rs2080312	1	0.24	2.13015e-05	2
CSF-1	Systemic lupus erythematosus	ebi-a-GCST003156	4	0.822156958333333	5201	9066	14267	-0.116952	0.187726	rs17610659	0.533291	rs7366071	0.139262	0.0440895	0.00158515	1
CXCL5	Multiple sclerosis	ieu-b-18	7	0.823388876712329	47429	68374	115803	-0.0306154	0.0496318	rs450373	0.537334	rs9993695	-0.14436	0.0478472	0.002552	4
CXCL6	COVID-19 hospitalisation	GCST90134602	28	0.823388876712329	14480	73191	87671	0.0191726	0.0314029	rs16850073	0.541508	rs561713373	1.0466	0.29902	0.00046518	4
MMP-1	Crohn's disease	ebi-a-GCST004132	47	0.823388876712329	12194	28072	40266	-0.0177666	0.0290841	rs471994	0.541285	rs188387868	0.4951	0.1266	9.14408e-05	11
TNFRSF9	Systemic lupus erythematosus	ebi-a-GCST003156	3	0.823388876712329	5201	9066	14267	-0.118078	0.191833	rs1776354	0.538208	rs301797	0.122218	0.0308582	7.47532e-05	1
TRAIL	IgA nephropathy	ieu-a-1081	3	0.823388876712329	977	4980	5957	-0.360846	0.588246	rs574044675	0.539595	rs6795768	0.222131	0.0770123	0.00392211	3
TWEAK	COVID-19 hospitalisation	GCST90134602	9	0.826704344262295	14480	73191	87671	-0.0404967	0.0669364	rs34790908	0.545178	rs78672472	-0.37092	0.10155	0.00025977	17
ST1A1	Sepsis	ieu-b-69	15	0.83127204359673	10154	454764	464918	0.0252553	0.0422169	rs149278	0.549688	rs35418743	0.0580121	0.0153299	2.99999e-05	16
TNFSF14	Rheumatoid arthritis	ieu-a-833	6	0.832454755434783	19234	61565	80799	0.0332641	0.055924	rs344562	0.55197	rs7257887	0.0943107	0.0197415	2.19999e-07	19
hGDNF	Asthma	ebi-a-GCST005212	11	0.833011849865952	19954	107715	127669	0.0245499	0.042055	rs62360376	0.559384	rs2973089	-0.0842086	0.0261549	0.0012836	5
IL-18	COVID-19 hospitalisation	GCST90134602	8	0.833011849865952	14480	73191	87671	-0.0485803	0.0833061	rs5744249	0.55979	rs12272808	-0.13705	0.035698	0.00012355	11
IL-18R1	Sepsis	ieu-b-69	73	0.833011849865952	10154	454764	464918	-0.0102018	0.0173382	rs2270297	0.556265	rs1348220642	0.140205	0.0401161	0.000129999	2
OPG	Eczema	ieu-a-996	8	0.833011849865952	10788	30047	40835	0.0476855	0.0814134	rs2247769	0.558063	rs111521977	0.11347	0.0358546	0.00155998	8
SLAMF1	Rheumatoid arthritis	ieu-a-833	5	0.833011849865952	19234	61565	80799	0.0417765	0.0716488	rs60094514	0.559844	rs12402741	0.122218	0.0247429	2.30001e-07	1
MMP-1	Asthma	ebi-a-GCST005212	23	0.835022727272727	19954	107715	127669	-0.0152993	0.0264313	rs471994	0.5627	rs12418360	-0.0986864	0.0286404	0.0005696	11
CD6	Type 1 diabetes	GCST90014023	50	0.83613192	18942	501638	520580	0.0120328	0.0209084	rs2074227	0.564954	rs117789849	0.204166	0.037953	7.47e-08	11
IL-15RA	Gout	ebi-a-GCST001790	15	0.840411326259947	2115	67259	69374	0.0365042	0.0644079	rs2228059	0.570874	rs4747886	0.11	0.033	0.00118954	10
uPA	Crohn's disease	ebi-a-GCST004132	4	0.840411326259947	12194	28072	40266	-0.0561207	0.0986534	rs55744193	0.569446	rs2675670	0.1074	0.0161	2.89468e-11	10
CDCP1	Rheumatoid arthritis	ieu-a-833	8	0.847774184210526	19234	61565	80799	-0.0326181	0.0590142	rs2276862	0.580458	rs9872121	0.127833	0.0290201	4.90004e-06	3
MCP-2	Asthma	ebi-a-GCST005212	15	0.847774184210526	19954	107715	127669	-0.00831656	0.0149538	rs1133763	0.578108	rs17782835	0.0880975	0.0302466	0.00358377	17
VEGF_A	COVID-19 hospitalisation	GCST90134602	16	0.847774184210526	14480	73191	87671	0.0194571	0.0350792	rs6921438	0.579125	rs146365693	-0.55725	0.15199	0.000246	6
CXCL6	Crohn's disease	ebi-a-GCST004132	29	0.851319015748032	12194	28072	40266	-0.0183339	0.0335208	rs16850073	0.584419	rs184104389	-0.3726	0.1003	0.000203798	4
CDCP1	Inflammatory bowel disease	ebi-a-GCST004131	13	0.851397604712042	25042	34915	59957	-0.0233275	0.0428317	rs2276862	0.586007	rs7636844	0.0693	0.0167	3.24302e-05	3
TRAIL	Eczema	ieu-a-996	7	0.854334830287206	10788	30047	40835	0.0516624	0.0957665	rs574044675	0.589568	rs12631355	0.120203	0.0339517	0.000402004	3
CCL25	Crohn's disease	ebi-a-GCST004132	51	0.854389143222506	12194	28072	40266	0.0118442	0.022555	rs2032887	0.599497	rs9749144	0.0803	0.0222	0.000299599	19
CD244	Systemic lupus erythematosus	ebi-a-GCST003156	6	0.854389143222506	5201	9066	14267	0.0656048	0.122856	rs11265493	0.593343	rs6671847	0.198851	0.0289651	6.64049e-12	1
CXCL11	Rheumatoid arthritis	ieu-a-833	7	0.854389143222506	19234	61565	80799	0.037392	0.0697783	rs6827617	0.592049	rs11200913	-0.0861777	0.0211727	2e-04	4
IL10RB	Multiple sclerosis	ieu-b-18	18	0.854389143222506	47429	68374	115803	-0.0204234	0.0391523	rs2266590	0.601921	rs1568922350	-0.10993	0.0268407	4.20998e-05	21
IL-18R1	Asthma	ebi-a-GCST005212	23	0.854389143222506	19954	107715	127669	0.00854912	0.0163214	rs2270297	0.600419	rs3771180	-0.179299	0.0170565	7.59976e-26	2
MIP-1 alpha	Sepsis	ieu-b-69	53	0.854389143222506	10154	454764	464918	0.0153089	0.0288672	rs8951	0.59589	rs1221587775	-0.0615425	0.016471	8.09991e-05	17
OPG	IgA nephropathy	ieu-a-1081	3	0.854389143222506	977	4980	5957	0.252489	0.474626	rs2247769	0.594744	rs7840309	0.500495	0.130761	0.000129399	8
ST1A1	Type 1 diabetes	GCST90014023	12	0.854389143222506	18942	501638	520580	0.0373298	0.0715473	rs149278	0.601845	rs231972	0.170939	0.021081	5.12e-16	16
CCL4	Systemic lupus erythematosus	ebi-a-GCST003156	11	0.858005931122449	5201	9066	14267	-0.0480561	0.0931735	rs8064426	0.606015	rs4796070	-0.105361	0.0326328	0.00124368	17
CXCL10	Multiple sclerosis	ieu-b-18	5	0.858444137055838	47429	68374	115803	0.0574411	0.11243	rs11548618	0.609418	rs2703111	0.139492	0.0417208	0.000827409	4
CXCL6	IgA nephropathy	ieu-a-1081	3	0.858444137055838	977	4980	5957	0.0978015	0.191136	rs16850073	0.608872	rs7691380	-0.233037	0.090484	0.0100108	4
CD244	Sepsis	ieu-b-69	10	0.865177896725441	10154	454764	464918	0.0223153	0.0448599	rs11265493	0.618875	rs115297732	-0.0979494	0.0297882	0.00021	1
MCP-4	Primary sclerosing cholangitis	ieu-a-1112	9	0.865177896725441	2871	12019	14890	-0.0550301	0.110239	rs3136676	0.617646	rs4795901	0.107059	0.03	0.000288755	17
MMP-10	Rheumatoid arthritis	ieu-a-833	34	0.865177896725441	19234	61565	80799	-0.0179115	0.0358398	rs17860955	0.617241	rs11524453	0.0618754	0.0217239	0.00309999	11
CDCP1	Multiple sclerosis	ieu-b-18	9	0.873085586034913	47429	68374	115803	-0.0275032	0.0567328	rs2276862	0.627829	rs1490212283	-0.0633503	0.0188508	0.000777696	3
FGF-5	Rheumatoid arthritis	ieu-a-833	13	0.873085586034913	19234	61565	80799	0.0138598	0.0285513	rs12509595	0.627368	rs10012656	-0.0943107	0.0195255	5.30005e-07	4
TNFRSF9	COVID-19 hospitalisation	GCST90134602	5	0.873085586034913	14480	73191	87671	-0.0401387	0.0834956	rs1776354	0.630709	rs183884090	-0.60886	0.16612	0.00024714	1
TRAIL	COVID-19 hospitalisation	GCST90134602	6	0.873085586034913	14480	73191	87671	-0.0396073	0.0824178	rs574044675	0.630824	rs62282643	1.0475	0.24563	2.0032e-05	3
OPG	COVID-19 hospitalisation	GCST90134602	8	0.87395104477612	14480	73191	87671	0.036203	0.0758217	rs2247769	0.633024	rs537209396	0.77047	0.1725	7.9473e-06	8
TWEAK	Crohn's disease	ebi-a-GCST004132	6	0.876123275434243	12194	28072	40266	-0.0319711	0.0675847	rs34790908	0.636176	rs140313246	-0.1785	0.035	3.42697e-07	17
LAP TGF-beta-1	Sepsis	ieu-b-69	5	0.876854665841584	10154	454764	464918	-0.0319024	0.0678636	rs1800472	0.638287	rs112298726	0.11434	0.0372719	0.000409996	19
CSF-1	Type 1 diabetes	GCST90014023	6	0.877063074074074	18942	501638	520580	0.0351603	0.0751814	rs17610659	0.640019	rs190517585	21.234707	4.723246	6.93e-06	1
ADA	Rheumatoid arthritis	ieu-a-833	14	0.881908470873786	19234	61565	80799	-0.0136069	0.0298819	rs11555566	0.648854	rs12479763	-0.287682	0.0881382	0.00109999	20
CXCL6	Inflammatory bowel disease	ebi-a-GCST004131	28	0.881908470873786	25042	34915	59957	-0.0118504	0.0260231	rs16850073	0.648835	rs425535	0.0755	0.0199	0.000145999	4
MIP-1 alpha	Systemic lupus erythematosus	ebi-a-GCST003156	17	0.881908470873786	5201	9066	14267	0.0350936	0.0777955	rs8951	0.651917	rs4796070	-0.105361	0.0326328	0.00124368	17
MMP-1	Gout	ebi-a-GCST001790	30	0.881908470873786	2115	67259	69374	-0.0324599	0.0722955	rs471994	0.653439	rs12285671	1.2	0.33	0.000604436	11
TNFRSF9	Gout	ebi-a-GCST001790	3	0.881908470873786	2115	67259	69374	0.0965204	0.215797	rs1776354	0.654678	rs11590889	-0.14	0.035	6.27307e-05	1
TRAIL	Systemic lupus erythematosus	ebi-a-GCST003156	5	0.881908470873786	5201	9066	14267	0.0728889	0.162878	rs574044675	0.654509	rs74553142	0.300105	0.0844848	0.000382067	3
TWEAK	Rheumatoid arthritis	ieu-a-833	6	0.881908470873786	19234	61565	80799	-0.0328893	0.0722514	rs34790908	0.648961	rs3744253	0.10436	0.0297766	0.000749998	17
CX3CL1	Crohn's disease	ebi-a-GCST004132	10	0.883418240963855	12194	28072	40266	0.0292408	0.0664006	rs671623	0.659669	rs10775336	0.1427	0.0293	1.12001e-06	16
hGDNF	Crohn's disease	ebi-a-GCST004132	18	0.883418240963855	12194	28072	40266	-0.020367	0.0461433	rs62360376	0.658934	rs76688681	-0.3817	0.0925	3.65898e-05	5
IL-12B	Rheumatoid arthritis	ieu-a-833	16	0.883418240963855	19234	61565	80799	-0.0130677	0.0297588	rs10076557	0.660574	rs7719912	-0.0725707	0.0164639	9.20005e-06	5
CCL4	Primary sclerosing cholangitis	ieu-a-1112	8	0.884282547169811	2871	12019	14890	-0.0475608	0.110348	rs8064426	0.666462	rs117619352	0.563608	0.161	0.000163459	17
CXCL6	Primary sclerosing cholangitis	ieu-a-1112	7	0.884282547169811	2871	12019	14890	-0.0302749	0.0707764	rs16850073	0.66883	rs186224052	0.447247	0.131	0.00028841	4
FGF-5	Systemic lupus erythematosus	ebi-a-GCST003156	11	0.884282547169811	5201	9066	14267	0.0182862	0.0424398	rs12509595	0.66656	rs12711161	0.139762	0.0314802	9.00928e-06	4
IL-15RA	Ulcerative colitis	ebi-a-GCST004133	33	0.884282547169811	12366	33609	45975	-0.0120794	0.0288116	rs2228059	0.67503	rs72777822	-0.2659	0.0625	2.09802e-05	10
IL-15RA	COVID-19 hospitalisation	GCST90134602	31	0.884282547169811	14480	73191	87671	-0.0121578	0.0284979	rs2228059	0.669656	rs12357604	-0.23052	0.057561	6.208e-05	10
MIP-1 alpha	Ulcerative colitis	ebi-a-GCST004133	24	0.884282547169811	12366	33609	45975	0.0167156	0.03962	rs8951	0.6731	rs147721468	-0.0563	0.0158	0.000370399	17
MMP-1	Type 1 diabetes	GCST90014023	53	0.884282547169811	18942	501638	520580	0.0117781	0.027489	rs471994	0.66831	rs564828723	5.773075	1.537068	0.000173	11
OPG	Multiple sclerosis	ieu-b-18	7	0.884282547169811	47429	68374	115803	-0.0355876	0.0850301	rs2247769	0.67556	rs1168247457	-0.156888	0.0392116	6.30594e-05	8
TRAIL	Ulcerative colitis	ebi-a-GCST004133	7	0.884282547169811	12366	33609	45975	-0.0342014	0.0809175	rs574044675	0.672536	rs187128613	-0.1034	0.0276	0.000177501	3
CCL23	Crohn's disease	ebi-a-GCST004132	25	0.887418882352941	12194	28072	40266	-0.0128325	0.031066	rs712048	0.679555	rs28363255	0.5331	0.1595	0.000833393	17
CXCL1	Crohn's disease	ebi-a-GCST004132	12	0.888332218309859	12194	28072	40266	0.021762	0.0530867	rs1366949	0.681855	rs184104389	-0.3726	0.1003	0.000203798	4
FGF-5	COVID-19 hospitalisation	GCST90134602	34	0.888353536299766	14480	73191	87671	0.01153	0.0282785	rs12509595	0.683472	rs146410178	0.83677	0.21543	0.00010267	4
CXCL1	Inflammatory bowel disease	ebi-a-GCST004131	11	0.88856148364486	25042	34915	59957	0.0167424	0.0413053	rs1366949	0.685233	rs425535	0.0755	0.0199	0.000145999	4
IL-15RA	Crohn's disease	ebi-a-GCST004132	32	0.889615953488372	12194	28072	40266	-0.0117777	0.02939	rs2228059	0.688612	rs61839660	0.1468	0.0261	1.98198e-08	10
IL-18	Type 1 diabetes	GCST90014023	9	0.889615953488372	18942	501638	520580	0.0311207	0.077827	rs5744249	0.689252	rs148798969	0.517479	0.118407	1.24e-05	11
IL-18	Multiple sclerosis	ieu-b-18	3	0.891053143851508	47429	68374	115803	-0.0355155	0.0896445	rs5744249	0.691971	rs10789825	0.0686862	0.0175828	9.36699e-05	11
DNER	Multiple sclerosis	ieu-b-18	15	0.891782222222222	47429	68374	115803	0.0219484	0.0558147	rs62193248	0.694144	rs35540610	0.135143	0.0193517	2.87872e-12	2
VEGF_A	Rheumatoid arthritis	ieu-a-833	12	0.89487148960739	19234	61565	80799	-0.01523	0.0392725	rs6921438	0.698161	rs2233424	0.231112	0.0262391	7.59976e-19	6
CST5	Crohn's disease	ebi-a-GCST004132	53	0.896270011520737	12194	28072	40266	-0.0102427	0.0266633	rs4815244	0.700867	rs34109544	-0.1204	0.0348	0.0005481	20
CXCL5	Type 1 diabetes	GCST90014023	14	0.899746651376147	18942	501638	520580	-0.0166147	0.0440886	rs450373	0.706286	rs557315099	2.492215	0.578558	1.65e-05	4
IL10RB	IgA nephropathy	ieu-a-1081	8	0.899746651376147	977	4980	5957	0.0745922	0.198321	rs2266590	0.706828	rs2834168	0.258703	0.0878017	0.00321447	21
ADA	Type 1 diabetes	GCST90014023	31	0.903256784897025	18942	501638	520580	0.00910401	0.0245903	rs11555566	0.711213	rs573008258	9.248401	2.275658	4.82e-05	20
ADA	Crohn's disease	ebi-a-GCST004132	19	0.903427738636364	12194	28072	40266	0.0114239	0.0314275	rs11555566	0.716231	rs2143607	-0.0674	0.0166	4.95998e-05	20
CD244	Multiple sclerosis	ieu-b-18	7	0.903427738636364	47429	68374	115803	0.0279561	0.0764869	rs11265493	0.714737	rs3737798	-0.0871864	0.0165588	1.40001e-07	1
VEGF_A	Systemic lupus erythematosus	ebi-a-GCST003156	15	0.903427738636364	5201	9066	14267	0.0198499	0.0541711	rs6921438	0.714045	rs74711970	0.378436	0.101508	0.000192899	6
TNFSF14	Inflammatory bowel disease	ebi-a-GCST004131	8	0.906510068027211	25042	34915	59957	0.0156457	0.0436972	rs344562	0.720308	rs184628	-0.0733	0.0176	3.01599e-05	19
MCP-4	Multiple sclerosis	ieu-b-18	10	0.90698625	47429	68374	115803	-0.021535	0.0606095	rs3136676	0.72236	rs17628745	0.826679	0.270236	0.00221998	17
MIP-1 alpha	IgA nephropathy	ieu-a-1081	5	0.90698625	977	4980	5957	0.0774398	0.219815	rs8951	0.724616	rs7213207	0.368165	0.120733	0.00229293	17
PD-L1	Primary sclerosing cholangitis	ieu-a-1112	3	0.90698625	2871	12019	14890	0.0712214	0.20291	rs822335	0.725589	rs1159782	0.111541	0.033	0.000503222	9
CCL23	Asthma	ebi-a-GCST005212	6	0.90830953125	19954	107715	127669	0.0103184	0.029977	rs712048	0.730687	rs2291189	0.0677515	0.0248883	0.00648455	17
CCL23	Type 1 diabetes	GCST90014023	26	0.90830953125	18942	501638	520580	-0.00896256	0.026142	rs712048	0.731717	rs78943308	-0.142301	0.033837	2.61e-05	17
MCP-2	Multiple sclerosis	ieu-b-18	25	0.90830953125	47429	68374	115803	-0.00687694	0.020174	rs1133763	0.733194	rs17628745	0.826679	0.270236	0.00221998	17
MIP-1 alpha	Inflammatory bowel disease	ebi-a-GCST004131	24	0.90830953125	25042	34915	59957	-0.0107348	0.0312408	rs8951	0.731137	rs180715914	-0.636	0.1592	6.44496e-05	17
IL-15RA	IgA nephropathy	ieu-a-1081	10	0.912284031180401	977	4980	5957	-0.0562317	0.168136	rs2228059	0.738046	rs12570303	0.30362	0.0850162	0.000355198	10
CXCL10	Rheumatoid arthritis	ieu-a-833	6	0.914104689578714	19234	61565	80799	0.0263817	0.0803999	rs11548618	0.742813	rs11200913	-0.0861777	0.0211727	2e-04	4
